#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
8.0,12,21.782351
7.2,11,21.790323
9.1,10,21.797309
8.5,16,21.808416
7.3,10,21.815513
6.9,14,21.825255
8.2,10,21.832239
7.2,11,21.839947
8.1,11,21.847884
9.0,11,21.855677
7.1,12,21.864139
8.1,11,21.872182
8.3,9,21.878538
7.3,10,21.885836
7.6,16,21.897142
6.8,15,21.907499
9.3,8,21.913169
7.4,9,21.920639
8.9,12,21.929235
8.7,14,21.939581
9.0,11,21.947834
7.3,10,21.954815
8.9,12,21.963179
8.0,12,21.971809
6.9,14,21.98161
8.7,14,21.991363
8.4,8,21.996949
8.0,12,22.005255
8.1,11,22.012858
8.4,8,22.018372
7.2,11,22.025876
7.1,12,22.034107
9.0,11,22.041886
8.4,8,22.047434
7.5,8,22.052939
7.6,16,22.063834
8.4,8,22.069395
8.6,15,22.079834
9.2,9,22.086153
7.9,13,22.095123
8.1,11,22.103024
7.4,9,22.109279
7.6,16,22.12038
7.5,8,22.125977
8.7,14,22.135544
8.3,9,22.14194
8.9,12,22.150238
9.1,10,22.157124
6.5,18,23.311428
6.2,12,23.320085
8.4,8,23.325816
9.2,9,23.332115
8.9,12,23.34055
7.1,12,23.349082
8.1,11,23.357084
9.1,10,23.364133
9.1,10,23.371689
7.8,14,23.381629
7.5,8,23.387318
8.9,12,23.395909
6.8,15,23.406599
8.3,9,23.412922
8.4,8,23.418605
8.4,8,23.424296
8.3,9,23.430593
9.3,8,23.436252
9.3,8,23.44188
9.1,10,23.449407
9.1,10,23.456599
8.1,11,23.464317
9.1,10,23.471434
8.2,19,23.485533
9.0,11,23.493297
8.1,11,23.501046
7.3,10,23.508332
8.9,12,23.516788
8.1,11,23.524498
9.1,10,23.531476
8.4,8,23.537157
8.1,11,23.545328
9.2,9,23.551726
8.4,8,23.557364
8.0,12,23.565765
8.4,8,23.57139
7.9,13,23.580519
9.3,8,23.5862
8.4,8,23.591954
8.4,8,23.597829
7.9,13,23.607173
9.0,11,23.614873
8.4,8,23.620594
7.8,14,23.630706
8.3,9,23.639973
8.2,10,23.650484
9.2,9,23.660425
9.2,9,23.667108
9.2,9,23.673368
8.2,10,23.680313
8.2,10,23.687452
7.1,21,23.705904
9.1,10,23.714131
9.1,10,23.721278
9.3,8,23.726985
9.1,10,23.734128
9.3,8,23.739734
9.2,9,23.746182
8.4,8,23.751719
9.0,11,23.759383
8.1,11,23.767024
9.2,9,23.773493
8.4,8,23.780111
8.4,8,23.785896
8.4,8,23.79144
8.4,8,23.797026
9.3,8,23.802559
7.9,13,23.811497
7.2,11,23.819412
8.9,12,23.827838
9.3,8,23.833342
9.3,8,23.838971
8.3,9,23.845389
7.8,14,23.855093
8.9,12,23.863494
8.3,9,23.869969
8.4,8,23.87558
9.1,10,23.8825
8.4,8,23.888262
9.3,8,23.893886
9.3,8,23.899412
9.2,9,23.905613
8.4,8,23.911185
7.4,9,23.917531
9.1,10,23.925006
9.1,10,23.932884
9.1,10,23.939909
7.5,8,23.945672
9.0,11,23.953312
9.1,10,23.960419
7.3,10,23.967468
8.4,8,23.973115
7.3,10,23.980078
8.9,12,23.991226
9.0,11,23.998849
5.5,19,24.0118
8.4,8,24.017339
9.1,10,24.024349
8.9,12,24.032578
7.3,10,24.039528
7.1,12,24.048078
8.8,13,24.057075
8.4,8,24.062573
9.0,11,24.070142
9.3,8,24.075936
9.3,8,24.081511
8.4,8,24.087281
8.9,12,24.095502
8.4,8,24.109057
8.3,9,24.115346
8.3,9,24.121713
9.3,8,24.127478
8.3,9,24.134802
9.1,10,24.141775
8.2,10,24.149084
9.3,8,24.154694
7.2,11,24.162304
8.9,12,24.170642
8.2,10,24.177613
9.2,9,24.183919
8.3,9,24.190161
8.3,9,24.196503
8.2,10,24.203393
8.8,13,24.212428
9.2,9,24.218781
8.4,8,24.224313
8.7,14,24.234119
9.1,10,24.241151
8.3,9,24.247618
8.4,8,24.253273
7.9,13,24.262452
9.2,9,24.268824
8.3,9,24.275088
8.4,8,24.281774
8.1,11,24.290833
9.0,11,24.29893
7.3,10,24.305898
8.2,10,24.31283
8.9,12,24.321157
8.2,10,24.328062
8.9,12,24.336534
8.2,10,24.343507
9.2,9,24.350014
8.3,9,24.356259
9.0,11,24.364072
9.2,9,24.370347
8.2,10,24.37752
9.1,10,24.384451
8.4,8,24.390042
8.4,17,24.401738
6.9,14,24.412413
8.2,10,24.419843
9.2,9,24.426284
8.2,10,24.433675
7.3,10,24.440942
8.3,9,24.447524
9.3,8,24.453301
9.3,8,24.459067
9.2,9,24.465605
9.3,8,24.47188
9.2,9,24.478355
9.0,11,24.486563
9.3,8,24.492349
8.1,11,24.500263
8.2,10,24.507557
8.3,9,24.514009
8.6,15,24.52467
8.7,14,24.534791
8.4,8,24.540662
7.9,13,24.550086
8.4,8,24.555813
8.2,10,24.562931
8.3,9,24.569414
8.3,9,24.575804
7.6,16,24.587596
7.8,14,24.598041
8.9,12,24.60647
8.3,9,24.613186
9.2,9,24.619728
8.7,14,24.629544
9.3,8,24.635383
7.5,8,24.641066
8.7,14,24.651188
7.3,10,24.6584
8.3,9,24.667422
9.2,9,24.677058
9.1,10,24.68799
7.3,10,24.697321
9.1,10,24.706195
7.5,8,24.712429
8.4,8,24.718893
9.2,9,24.729883
9.2,9,24.741522
8.8,13,24.755767
9.1,10,24.766365
8.3,9,24.775641
8.3,9,24.785508
9.0,11,24.797161
9.0,11,24.80838
9.2,9,24.818006
8.4,8,24.826032
9.2,9,24.834891
7.3,10,24.844505
9.1,10,26.471572
9.3,8,26.479346
8.3,9,26.487617
8.4,8,26.495465
9.0,11,26.509531
9.2,9,26.518214
9.2,9,26.52633
9.2,9,26.534387
9.2,9,26.542452
7.6,16,26.5568
8.3,9,26.564828
9.0,11,26.574579
7.5,8,26.582157
9.1,10,26.591496
8.1,11,26.601491
8.4,8,26.608704
9.2,9,26.616789
7.3,10,26.626897
9.3,8,26.634076
9.3,8,26.641378
8.3,9,26.650056
8.2,10,26.659226
9.3,8,26.666615
8.3,9,26.675377
8.7,14,26.689501
