#{"t_start": 1743752298.8840184, "env_id": "None"}
r,l,t
7.4,27,71.862155
9.3,8,71.884057
8.1,20,71.928595
9.3,8,71.949946
9.3,8,71.967337
9.2,9,71.985609
8.4,8,72.005757
9.3,8,72.028505
9.3,8,72.046129
8.3,18,72.086254
8.2,10,72.112893
8.4,8,72.136245
8.4,8,72.153623
7.7,15,72.187769
9.3,8,72.205011
8.1,20,72.257183
9.2,9,72.27509
8.2,10,72.2939
8.4,8,72.311928
9.3,8,72.333865
9.0,11,72.359746
9.3,8,72.378323
9.3,8,72.39761
8.1,11,72.428627
9.3,8,72.449057
7.8,23,72.500939
9.3,8,72.523118
7.8,14,72.55392
7.1,30,72.62442
9.3,8,72.642199
9.3,8,72.659864
7.7,24,72.725061
7.3,10,72.743193
8.4,8,72.76051
8.4,8,72.778899
9.3,8,72.800884
7.5,26,72.861894
8.4,8,72.883039
8.4,8,72.907938
8.2,10,72.931335
9.3,8,72.949621
9.3,8,72.967448
9.3,8,72.988518
9.3,8,73.012383
9.3,8,73.032165
9.3,8,73.051771
9.3,8,73.069657
6.6,26,73.13475
9.3,8,73.152092
8.4,8,73.170393
8.4,8,73.188725
9.3,8,73.210108
9.3,8,73.228242
8.6,15,73.260577
9.3,8,73.281396
8.4,8,73.307451
7.9,13,73.341068
8.4,8,73.35865
7.2,20,73.406871
8.4,8,73.431181
8.4,8,73.450484
8.4,8,73.469039
8.4,8,73.48696
7.7,24,73.547228
8.0,12,73.577724
9.3,8,73.596984
8.3,9,73.615275
9.3,8,73.638245
9.0,11,73.665696
9.3,8,73.686934
7.6,16,73.730879
9.1,10,73.757761
7.5,26,73.822878
8.4,8,73.843428
5.4,29,73.908807
9.3,8,73.938427
9.3,8,73.958126
9.0,11,73.983434
9.3,8,74.001051
8.4,8,74.025546
9.3,8,74.044821
9.2,9,74.063238
9.3,8,74.081037
8.4,8,74.103092
5.7,35,74.200059
9.3,8,74.220907
9.3,8,74.241769
7.2,29,74.311658
8.1,11,74.337369
7.7,24,74.39417
7.3,10,74.412795
8.4,8,74.436908
8.4,8,74.45688
8.4,8,74.480018
8.4,8,74.500966
8.4,8,74.526729
8.4,8,74.544594
8.4,8,74.562346
7.3,10,74.590827
9.3,8,74.61315
5.1,32,74.686712
8.4,8,74.708123
8.0,12,74.737281
9.3,8,74.76103
9.3,8,74.778751
9.3,8,74.798131
9.3,8,74.815341
9.3,8,74.840078
6.4,28,74.902903
9.3,8,74.920836
8.0,12,74.950154
6.2,30,75.03016
8.4,8,75.050523
8.2,10,75.077815
9.2,9,75.101661
9.3,8,75.123334
9.3,8,75.142821
8.2,10,75.161707
8.4,8,75.179869
8.4,8,75.203382
8.4,8,75.222354
8.4,8,75.240274
8.2,10,75.267586
8.4,8,75.291374
8.4,8,75.309507
8.4,8,75.327222
8.4,8,75.344969
8.2,19,75.396302
9.3,8,75.414923
7.3,10,75.437066
9.3,8,75.455884
9.3,8,75.478371
7.9,22,75.548963
7.3,10,75.57149
8.4,8,75.589421
6.2,30,75.664582
8.4,8,75.683947
8.4,8,75.70548
8.4,8,75.726106
8.4,8,75.749675
8.4,8,75.767572
7.5,8,75.785067
7.6,16,75.82022
9.3,8,75.844253
8.4,8,75.86243
8.4,8,75.879744
8.4,8,75.897898
5.5,28,75.963596
9.3,8,75.981347
7.7,24,76.050715
9.3,8,76.068974
9.3,8,76.09437
9.3,8,76.113237
8.0,12,76.140801
8.4,8,76.159293
8.4,8,76.181202
7.8,23,76.226595
8.4,8,76.244509
8.4,8,76.261999
8.4,8,76.284448
7.3,10,76.313455
6.8,15,76.3526
9.3,8,76.373037
8.4,8,76.398078
